FarmID,category,Crop,State,District,Sub-District,SDate,HDate,CropCoveredArea,CHeight,CNext,CLast,CTransp,IrriType,IrriSource,IrriCount,WaterCov,ExpYield,Season,geometry
1326576,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-11-25 0:00:00,2024-04-14 0:00:00,97,54,Pea,Lentil,Transplanting,Flood,Groundwater,4,87,17,Rabi,"POLYGON ((78.18143246076087 17.978884603571068, 78.18149324901445 17.97898640558611, 78.18175397935514 17.978865561467536, 78.18166316316905 17.978728604799823, 78.18143246076087 17.978884603571068))"
1326577,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-11-13 0:00:00,2024-04-26 0:00:00,82,58,Pea,Lentil,Transplanting,Flood,Canal,5,94,15,Rabi,"POLYGON ((78.17545177547453 17.981074445477304, 78.17578208273196 17.98104441754481, 78.1757432661363 17.980859123229667, 78.17544591636575 17.9808781653332, 78.17545324025173 17.98094481269556, 78.17545177547453 17.981074445477304))"
1326578,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-12-19 0:00:00,2024-04-28 0:00:00,92,91,Pea,Lentil,Transplanting,Flood,Canal,3,99,20,Rabi,"POLYGON ((78.16914224770792 17.976212849967755, 78.16930117603356 17.97618868114404, 78.16928066915284 17.975967499787625, 78.16910782544385 17.975972626507808, 78.16914224770792 17.976212849967755))"
1331836,Diseased,Paddy,Telangana,Medak,Kulcharam,2023-02-11 0:00:00,2024-11-04 0:00:00,91,52,Pea,Lentil,Transplanting,Flood,Canal,5,92,16,Rabi,"POLYGON ((78.16889103841902 17.974608186550842, 78.16915762786849 17.974714382897467, 78.16923306389401 17.974564243234997, 78.16894743234103 17.974463905997155, 78.16889103841902 17.974608186550842))"
1326579,Diseased,Paddy,Telangana,Medak,Kulcharam,2023-12-12 0:00:00,2024-05-19 0:00:00,94,55,Pea,Lentil,Transplanting,Flood,Canal,5,97,20,Rabi,"POLYGON ((78.17264452998072 17.969251496349454, 78.1727609797677 17.96925515829244, 78.1727587826019 17.969126257899298, 78.17272728989222 17.969053751428156, 78.1726188963798 17.96908011741766, 78.17264452998072 17.969251496349454))"
1326580,Pests,Paddy,Telangana,Medak,Kulcharam,2023-12-13 0:00:00,2024-05-18 0:00:00,97,51,Pea,Lentil,Transplanting,Flood,Groundwater,5,85,15,Rabi,"POLYGON ((78.17299094978729 17.96296394024075, 78.17324655340778 17.962941236194233, 78.17325241251656 17.962621914765766, 78.17320846920072 17.962567718009556, 78.17317917365682 17.962588957278882, 78.17300925950222 17.962599210719247, 78.17300925950222 17.96271053378605, 78.17299094978729 17.96296394024075))"
1326581,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-11-20 0:00:00,2024-05-30 0:00:00,84,68,Lentil,Pea,Transplanting,Flood,Canal,3,90,15,Rabi,"POLYGON ((78.17654376687328 17.95927123693265, 78.17665875188308 17.959256589160702, 78.17664337172253 17.959052985130626, 78.17652911910133 17.959069830068366, 78.1765415697075 17.959193603741326, 78.17654376687328 17.95927123693265))"
988392,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-12-14 0:00:00,2024-04-04 0:00:00,86,72,Pea,Lentil,Transplanting,Flood,Canal,3,91,15,Rabi,"POLYGON ((78.17882149541123 17.957916318027465, 78.17902363466412 17.95795952895471, 78.17904047960185 17.957808656903648, 78.17884932617794 17.95777057269658, 78.17882149541123 17.957916318027465))"
718074,Diseased,Paddy,Telangana,Medak,Kulcharam,2023-10-12 0:00:00,2024-10-05 0:00:00,90,78,Pea,Lentil,Transplanting,Flood,Canal,3,86,18,Rabi,"POLYGON ((78.18103587233549 17.951640113942023, 78.18126913810376 17.951698338835516, 78.18129074356739 17.95157602993975, 78.18106736504517 17.95152549512653, 78.18103587233549 17.951640113942023))"
214818,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-10-12 0:00:00,2024-04-22 0:00:00,90,53,Lentil,Pea,Transplanting,Flood,Groundwater,5,90,19,Rabi,"POLYGON ((78.18079088834969 17.946333592359554, 78.18097471788764 17.94631455025602, 78.18097618266484 17.94619370613745, 78.18078649401811 17.946220804515555, 78.18079088834969 17.946333592359554))"
